Job Seeker ID,Surname,Given Name,Date of Birth,Next Provider Appointment,Allowance Type,Job Plan Status,Job Plan Date,Contact Number,Job Seeker Tags,Age,Client Group,Client Note,Commencement Date,Contract Type,Early School Leaver,Exit Date,Group By,Job Search,Managed By,NEIS Referred,Outcome,Period Of Service (weeks),Phase,Placement Status,Postcode,Priority,Referral Date,Seasonal Work Eligibility,Specialist Type,Stream,Subcontractor,Suburb,Suspension Reason,Time in Program (weeks),Time with Provider (weeks),Time with Site (weeks),Outstanding non-compliance event,Demerit/ Penalty Count
60210,YEADON,ELIE,21/04/2000,,Youth Allowance,Approved,22/11/2019,491555555,,19,No Client Group,noLic/Wk wworth,5/07/2018,jobactive,,21/10/2019,,20,(JD3304),,Job seeker opt into Digital Services,0,Work for the Dole,Transferred,4870,0,3/07/2018,,All Client Types,Stream A,0,WESTCOURT,,71,0,66,,
126480,ECONOMOPOULOS,RYHS,16/10/1958,,Newstart Allowance,Approved,9/08/2019,491555555,,61,No Client Group,,,jobactive,,,,8,"Branigan, Emma (EB2957)",,,0,Case Management,Pending,4870,0,10/07/2018,,All Client Types,Stream B,0,CAIRNS,,57,60,59,,
133620,STROOBAND,BERNITA,15/03/2000,,,Approved,20/06/2019,491555555,,19,ATSI,,20/06/2019,jobactive,,,,0,(DBXSFP74),,,0,Case Management,Commenced,4870,0,4/06/2019,,All Client Types,Stream B,0,CAIRNS,,23,23,21,,
420120,VELAGIC,RISA,15/09/2001,,Youth Allowance,No Job Plan,,491555555,,18,No Client Group,,,jobactive,Yes,,,0,(DBXSFP74),,,0,Case Management,Pending,4868,0,8/08/2019,,All Client Types,Stream B,0,BAYVIEW HEIGHTS,,16,16,0,,
482320,FAULKES,MOHSEN,11/06/1996,,Newstart Allowance,Approved,9/05/2019,491555555,,23,No Client Group,FoodServiceHosp,13/08/2018,jobactive,,,,15,(JD3304),,,0,Case Management,Commenced,4869,0,10/08/2018,,All Client Types,Stream A,0,BENTLEY PARK,,53,53,53,,
551620,JILBERT,PRECIOSA,22/01/1971,,Parenting Payment Single,Approved,25/02/2019,491555555,,49,Principal Carer Parent,(O)CHILDCARE,16/11/2018,jobactive,,,,5,(XJKQTP93),,,0,Case Management,Commenced,4870,0,20/08/2018,,All Client Types,Stream B,0,CAIRNS NORTH,,60,62,58,,
584070,REHWINKEL,KRUME,11/04/1997,,Newstart Allowance,Approved,11/07/2019,491555555,,22,No Client Group,Amber no DL,23/08/2018,jobactive,,,,12,(XPZSWK36),,,0,Work for the Dole,Commenced,4868,0,22/08/2018,,All Client Types,Stream A,0,BAYVIEW HEIGHTS,,66,66,66,,
667330,PICCIOLI,NEVILLE,7/06/1975,,Parenting Payment Single,Approved,23/08/2019,491555555,,44,Principal Carer Parent,,29/03/2019,jobactive,,,,0,(TT3371),,,0,Case Management,Commenced,4868,0,26/03/2019,,All Client Types,Stream B,0,WOREE,,23,35,34,,
686440,BECK,HAM,11/01/2001,,Youth Allowance,Approved,24/07/2019,491555555,,19,No Client Group,,24/07/2019,jobactive,Yes,,,0,(DBXSFP74),,,0,Work for the Dole,Commenced,4869,0,10/06/2019,,All Client Types,Stream B,0,EDMONTON,,24,24,18,,
699140,GRINDLEY,NEERAJ,18/07/1986,,Parenting Payment Single,Approved,1/04/2019,491555555,,33,Principal Carer Parent,,,jobactive,,,,0,(KL2610),,,0,Case Management,Suspended,4869,0,25/03/2019,,All Client Types,Stream B,0,BENTLEY PARK,Job Seeker Full Time Student,0,35,0,,
733050,MACMILLAN,ROGERS,8/01/2001,,Youth Allowance,No Job Plan,,491555555,,19,No Client Group,,,jobactive,Yes,,,0,(DBXSFP74),,,0,Work for the Dole,Pending,4870,0,13/08/2019,,All Client Types,Stream B,0,CAIRNS,,15,15,0,,
866080,MENYWEATHER,ZHIHAO,1/02/1984,,Newstart Allowance,Approved,1/07/2019,491555555,,35,No Client Group,Amb Lab,2/10/2018,jobactive,,,,12,(XPZSWK36),,,0,Case Management,Commenced,4870,0,28/09/2018,,All Client Types,Stream A,0,MANUNDA,,54,54,54,,
902850,KUZMAN,JANG,20/08/2002,,Youth Allowance,Approved,21/03/2019,491555555,,17,ATSI,(G) Hair Appren,21/03/2019,jobactive,Yes,11/11/2019,,0,(DBXSFP74),,Client overseas,0,,Exited,5000,0,30/01/2019,,All Client Types,Stream B,0,ADELAIDE,,0,0,0,,
940900,NAGINA,DANI,4/11/1999,,Youth Allowance,Pending,,491555555,,20,No Client Group,Red noDL,11/10/2018,jobactive,,,,0,(XPZSWK36),,,0,Case Management,Commenced,4869,0,9/10/2018,,All Client Types,Stream A,0,EDMONTON,,59,59,59,,
991170,ARISOY,ASIMINA,31/10/1983,,Newstart Allowance,Approved,1/03/2019,491555555,,36,No Client Group,,1/03/2019,jobactive,,,,1,(JD3304),,,0,Case Management,Commenced,4870,0,26/02/2019,,All Client Types,Stream A,0,EARLVILLE,,39,39,39,,
1107790,MCMEEKAN,SALLEE,11/05/1995,,Parenting Payment Single,Approved,12/07/2019,491555555,,24,ATSI Principal Carer Parent,,14/03/2019,jobactive,,,,10,(DBXSFP74),,,0,Case Management,Commenced,4870,0,8/03/2019,,All Client Types,Stream B,0,MANOORA,,38,38,37,,
1115330,KAILA,ANNALIZA,2/04/1963,,Newstart Allowance,Pending,,******,,56,No Client Group,,5/11/2018,jobactive,,,,0,(JD3304),,,0,Self Service and Job Activity,Commenced,4868,0,1/11/2018,,All Client Types,Stream A,0,WOREE,,38,56,55,,
1115810,RENAUD,SHAHRAM,28/12/1961,,Newstart Allowance,Approved,23/07/2019,******,,58,No Client Group,Management,5/11/2018,jobactive,,,,5,(JD3304),,,0,Case Management,Commenced,4868,0,1/11/2018,,All Client Types,Stream A,0,WOREE,,56,56,55,,
1139180,BLANDTHORN,SIAVASH,31/03/1978,,Newstart Allowance,Approved,16/08/2019,491555555,,41,No Client Group,,,jobactive,,,,0,(BO2626),,,0,Self Service and Job Activity,Pending,4870,0,17/01/2019,,All Client Types,Stream C,0,MOOROOBOOL,,43,45,15,,
1219530,VANNI,JEFFERSON,23/07/2000,,Youth Allowance,Approved,6/08/2019,491555555,,19,No Client Group,Lab. WC learner,29/11/2018,jobactive,,,learners licens,10,(JD3304),,,0,Case Management,Commenced,4868,0,27/11/2018,,All Client Types,Stream A,0,MOUNT SHERIDAN,,54,52,52,,
1228600,SELMES,LAUREL,7/11/1959,,Newstart Allowance,Approved,13/03/2019,491555555,,60,No Client Group,,,jobactive,,,,0,(KL2610),,,0,Case Management,Suspended,4869,0,13/11/2018,,All Client Types,Stream B,0,EDMONTON,Temporary Reduced Work Capacity,14,54,54,,
1230320,CODOGNOTTO,PEGGIE,11/07/1967,,Newstart Allowance,Approved,13/08/2019,491555555,,52,Principal Carer Parent,,19/11/2018,jobactive,,,,0,(XPZSWK36),,,0,Self Service and Job Activity,Suspended,4869,0,13/11/2018,,All Client Types,Stream A,0,EDMONTON,Job Seeker Undertaking Part Time Work,15,54,53,,
1236520,MUCHAMORE,NANDINI,20/07/1959,,Newstart Allowance,Pending,,491555555,,60,No Client Group,,,jobactive,,,,0,(KL2610),,,0,Case Management,Suspended,4868,0,14/11/2018,,All Client Types,Stream B,0,MOUNT SHERIDAN,Job Seeker Undertaking Part Time Work,29,54,54,,
1238600,BADARI,JANELLE,26/11/1998,,Carer Payment,Approved,12/08/2019,491555555,,21,No Client Group,,,jobactive,,,,20,(BO2626),,,0,Self Service and Job Activity,Pending,4870,0,6/08/2019,,All Client Types,Stream A Volunteer,0,BUNGALOW,,16,16,13,,
1254300,BAZZANO,ANNA,14/11/2002,,Youth Allowance,Approved,29/08/2019,491555555,,17,ATSI,,29/08/2019,jobactive,,,,14,(DBXSFP74),,,0,Case Management,Commenced,4870,0,11/12/2018,,All Client Types,Stream C,0,EARLVILLE,,50,50,46,,
1260140,VANDERKLEY,ANETTE,13/09/2000,,Youth Allowance,Approved,15/05/2019,491555555,,19,No Client Group,,12/12/2018,jobactive,Yes,,,0,(DBXSFP74),,,0,Case Management,Commenced,4869,0,28/11/2018,,All Client Types,Stream C,0,EDMONTON,,52,52,50,,
